time,open,high,low,close,Volume
1757356740,648.24,648.24,648.13,648.15,10625
1757356800,648.16,648.18,647.97,647.98,27020
1757356860,647.99,648.07,647.95,647.97,21639
1757356920,647.94,648.14,647.9,648.14,15477
1757356980,648.14,648.18,648.07,648.13,14757
1757357040,648.14,648.3,648.14,648.285,12436
1757357100,648.28,648.35,648.25,648.33,13477
1757357160,648.335,648.47,648.33,648.44,14002
1757357220,648.43,648.53,648.41,648.52,10762
1757357280,648.51,648.58,648.51,648.57,12769
1757357340,648.56,648.565,648.42,648.42,12340
1757357400,648.43,648.53,648.315,648.33,9279
1757357460,648.35,648.48,648.35,648.45,7475
1757357520,648.44,648.47,648.34,648.34,7604
1757357580,648.349,648.349,648.13,648.19,11769
1757357640,648.21,648.31,648.2,648.25,4368
1757357700,648.25,648.375,648.23,648.36,19035
1757357760,648.33,648.37,648.28,648.32,6017
1757357820,648.305,648.355,648.28,648.29,6917
1757357880,648.29,648.29,648.17,648.23,27520
1757357940,648.24,648.27,648.2,648.23,7828
1757358000,648.22,648.23,648.02,648.05,18219
1757358060,648.06,648.23,648.06,648.1,19663
1757358120,648.12,648.17,648.08,648.13,21330
1757358180,648.115,648.15,648.04,648.04,21148
1757358240,648.03,648.12,648,648.11,21280
1757358300,648.11,648.21,648.1,648.18,17774
1757358360,648.19,648.21,648.07,648.07,19943
1757358420,648.08,648.11,648,648.08,36613
1757358480,648.07,648.16,648.05,648.07,11716
1757358540,648.08,648.12,647.95,647.95,12661
1757358600,647.95,647.99,647.861,647.89,20875
1757358660,647.89,647.9,647.68,647.74,46191
1757358720,647.72,647.73,647.34,647.48,35353
1757358780,647.5,647.6,647.41,647.52,30147
1757358840,647.5,647.61,647.49,647.59,20359
1757358900,647.6,647.69,647.49,647.62,41036
1757358960,647.615,647.83,647.61,647.79,36710
1757359020,647.8,647.9,647.8,647.85,19459
1757359080,647.86,647.89,647.67,647.71,13008
1757359140,647.73,647.8,647.68,647.76,17658
1757359200,647.74,647.81,647.71,647.75,17458
1757359260,647.75,647.79,647.69,647.69,12442
1757359320,647.7,647.7,647.59,647.62,10797
1757359380,647.62,647.64,647.43,647.48,11764
1757359440,647.49,647.63,647.49,647.59,6901
1757359500,647.6,647.61,647.49,647.59,11996
1757359560,647.59,647.6,647.43,647.455,9595
1757359620,647.44,647.6,647.44,647.59,9557
1757359680,647.58,647.6,647.45,647.49,34500
1757359740,647.46,647.61,647.459,647.57,5579
1757359800,647.59,647.76,647.59,647.68,17419
1757359860,647.69,647.755,647.65,647.75,24810
1757359920,647.745,647.93,647.74,647.859,15313
1757359980,647.86,647.87,647.59,647.59,7279
1757360040,647.59,647.62,647.46,647.46,28961
1757360100,647.48,647.645,647.48,647.63,14207
1757360160,647.63,647.77,647.63,647.77,11701
1757360220,647.78,647.81,647.72,647.76,19897
1757360280,647.77,647.83,647.77,647.82,10197
1757360340,647.83,647.93,647.82,647.87,4963
1757360400,647.85,647.97,647.83,647.94,13201
1757360460,647.94,648.08,647.92,647.94,13681
1757360520,647.97,648.08,647.97,648.07,26492
1757360580,648.065,648.245,648.05,648.23,22501
1757360640,648.24,648.25,648.11,648.14,19152
1757360700,648.14,648.37,648.14,648.37,21411
1757360760,648.37,648.44,648.26,648.43,31378
1757360820,648.45,648.56,648.4,648.48,40082
1757360880,648.48,648.48,648.36,648.44,30342
1757360940,648.44,648.52,648.43,648.5,46567
1757361000,648.52,648.52,648.03,648.14,99085
1757361060,648.15,648.3,648.08,648.21,79648
1757361120,648.21,648.41,648.17,648.38,57608
1757361180,648.38,648.49,648.31,648.48,110385
1757361240,648.49,648.53,648.3,648.45,55777
1757361300,648.48,648.66,648.32,648.64,80203
1757361360,648.64,648.72,648.56,648.58,53848
1757361420,648.58,648.7,648.46,648.66,147118
1757361480,648.66,648.66,648.31,648.4,195838
1757361540,648.4,648.88,648.4,648.78,1031124
1757424600,648.97,649.19,648.8,648.8,87757
1757424660,648.79,649.31,648.76,649.28,31814
