datetime,high,low,close,Volume
2025-09-08 14:08:00,647.64,647.45,647.48,16180
2025-09-08 14:09:00,647.61,647.5,647.59,9113
2025-09-08 14:10:00,647.88,647.56,647.88,23076
2025-09-08 14:11:00,647.92,647.8,647.86,13258
2025-09-08 14:12:00,647.92,647.81,647.81,11637
2025-09-08 14:13:00,647.99,647.8,647.98,14753
2025-09-08 14:14:00,648.0,647.91,647.95,10452
2025-09-08 14:15:00,648.1,647.93,648.085,51699
2025-09-08 14:16:00,648.31,648.05,648.18,58855
2025-09-08 14:17:00,648.26,648.13,648.26,9674
2025-09-08 14:18:00,648.27,648.17,648.25,8644
2025-09-08 14:19:00,648.31,648.2,648.27,10611
2025-09-08 14:20:00,648.31,648.25,648.3,8593
2025-09-08 14:21:00,648.41,648.29,648.39,24103
2025-09-08 14:22:00,648.51,648.36,648.481,31229
2025-09-08 14:23:00,648.49,648.09,648.11,21234
2025-09-08 14:24:00,648.23,648.07,648.21,11093
2025-09-08 14:25:00,648.23,648.08,648.16,9062
2025-09-08 14:26:00,648.19,648.1,648.14,8120
2025-09-08 14:27:00,648.29,648.151,648.25,5102
2025-09-08 14:28:00,648.29,648.22,648.26,5992
2025-09-08 14:29:00,648.41,648.26,648.39,8507
2025-09-08 14:30:00,648.49,648.34,648.35,10554
2025-09-08 14:31:00,648.35,648.26,648.33,6257
2025-09-08 14:32:00,648.34,648.29,648.34,3299
2025-09-08 14:33:00,648.42,648.33,648.39,11561
2025-09-08 14:34:00,648.41,648.34,648.35,6622
2025-09-08 14:35:00,648.43,648.31,648.41,17603
2025-09-08 14:36:00,648.43,648.35,648.4,10982
2025-09-08 14:37:00,648.43,648.37,648.4,9128
2025-09-08 14:38:00,648.41,648.22,648.24,12248
2025-09-08 14:39:00,648.24,648.13,648.15,10625
2025-09-08 14:40:00,648.18,647.97,647.98,27020
2025-09-08 14:41:00,648.07,647.95,647.97,21639
2025-09-08 14:42:00,648.14,647.9,648.14,15477
2025-09-08 14:43:00,648.18,648.07,648.13,14757
