datetime,high,low,close,Volume,hl_pct,hl5,hl15,trend_score_m30,ib_high,ib_low,ib_mid,ib_width,ib_width_type,day_close,prev_day,prev_close,gap,gap_dir,avwap_open,avwap_down,avwap_up,slope_open,slope_up,slope_down,is_ib,is_analysis,is_labelwin,state_ud_above,state_ud_below,state_ud_between,delta_ud,delta_ud_pct,state_ou_above,state_ou_below,state_ou_between,delta_ou,delta_ou_pct,state_od_above,state_od_below,state_od_between,delta_od,delta_od_pct,slope_open_sign,cross_px_open,cross_px_open_last5,slope_up_sign,cross_px_up,cross_px_up_last5,slope_down_sign,cross_px_down,cross_px_down_last5,cross_av_ud,cross_av_ud_last5,cross_av_ou,cross_av_ou_last5,cross_av_od,cross_av_od_last5,close_f15,close_f30,ret15,ret30,dir15,dir30,is_H2,pred_H2_dir15,pred_H2_dir30,is_H3,pred_H3_dir15,pred_H3_dir30,is_H3_strict
2025-11-03 11:20:00,682.74,682.37,682.41,14657,0.0005421960405035,0.0005099704167494,0.0004425596991916,0.6119402985074746,685.8,680.0,682.9,5.7999999999999545,wide,680.11,2025-10-31,683.26,-3.1499999999999773,-1.0,682.5969413081007,681.5078737279883,681.7169874187915,-0.0007751397297852,0.0060196103706857,0.0112163824207982,False,True,True,1,0,0,0.2091136908031785,0.0003064340950501,0,0,1,0.8799538893091494,0.0012894797692137,0,0,1,1.089067580112328,0.0015959138642639,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,682.409,682.39,-1.465394704025513e-06,-2.9307894081287426e-05,0,0,1,1.0,1.0,1,,,0
2025-11-03 11:21:00,682.55,682.32,682.55,9317,0.0003369716504284,0.0004659457674915,0.0004406005150043,0.7311827956989103,685.8,680.0,682.9,5.7999999999999545,wide,680.11,2025-10-31,683.26,-3.1499999999999773,-1.0,682.5965417322562,681.5162264488971,681.7216361333867,-0.0006355858144615,0.0063620383829402,0.0116718539987914,False,True,True,1,0,0,0.2054096844896094,0.0003009445234629,0,0,1,0.8749055988695318,0.0012818190592184,0,0,1,1.0803152833591412,0.0015827635826813,-1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,682.73,682.75,0.0002637169438137,0.0002930188264596,1,1,1,1.0,1.0,1,,,0
2025-11-03 11:22:00,682.72,682.53,682.7,8067,0.0002783067233046,0.0004160754966393,0.0004318030677063,0.891304347826181,685.8,680.0,682.9,5.7999999999999545,wide,680.11,2025-10-31,683.26,-3.1499999999999773,-1.0,682.5966909394374,681.5246562056832,681.7265504322233,-0.0001170883726445,0.0059038471196117,0.0104387767192747,False,True,True,1,0,0,0.2018942265401619,0.0002957290560131,1,0,0,0.870140507214046,0.0012745576493541,1,0,0,1.072034733754208,0.0015702867053672,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,682.58,682.74,-0.0001757726673502,5.859088911663868e-05,0,1,1,1.0,1.0,1,,,0
2025-11-03 11:23:00,682.89,682.68,682.76,11466,0.0003075751362118,0.0003369517896303,0.0004298393498358,0.8712871287128746,685.8,680.0,682.9,5.7999999999999545,wide,680.11,2025-10-31,683.26,-3.1499999999999773,-1.0,682.5974021024714,681.5377489613452,681.7343924031536,5.6927086347968725e-05,0.0062820558810699,0.0109230075564255,False,True,True,1,0,0,0.196643441808419,0.000288012539997,1,0,0,0.8630096993177858,0.0012640015515229,1,0,0,1.059653141126205,0.00155201409152,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,682.79,682.73,4.393930517299083e-05,-4.393930517310185e-05,1,0,1,1.0,1.0,1,,,0
2025-11-03 11:24:00,682.86,682.525,682.53,10662,0.0004908209162967,0.000391174093349,0.0004410701781257,0.6399999999999864,685.8,680.0,682.9,5.7999999999999545,wide,680.11,2025-10-31,683.26,-3.1499999999999773,-1.0,682.5975519480565,681.5483480972719,681.7406261519255,2.9542049105657497e-05,0.0062793671402232,0.010875519742035,False,True,True,1,0,0,0.1922780546536842,0.0002817137043846,0,0,1,0.8569257961310086,0.0012555137446427,0,0,1,1.0492038507846928,0.0015372274490274,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,682.91,682.92,0.0005567520841573,0.0005714034547932,1,1,1,1.0,1.0,1,,,0
2025-11-03 11:25:00,682.63,682.26,682.34,12452,0.0005422516633936,0.000391185217927,0.0004518175083912,0.4148936170212882,685.8,680.0,682.9,5.7999999999999545,wide,680.11,2025-10-31,683.26,-3.1499999999999773,-1.0,682.5967534786495,681.5579315507349,681.7459741918045,-3.75658902385112e-05,0.0057973546026005,0.0100115645493133,False,True,True,1,0,0,0.1880426410696145,0.0002755849592133,0,0,1,0.8507792868449542,0.0012468553607365,0,0,1,1.0388219279145687,0.0015224403199498,-1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,683.17,682.88,0.0012164023800449,0.0007913943195474,1,1,1,1.0,1.0,1,,,0
2025-11-03 11:26:00,682.34,682.0,682.029,18239,0.0004985125265934,0.00042349339316,0.0004576996464309,0.0840425531914424,685.8,680.0,682.9,5.7999999999999545,wide,680.11,2025-10-31,683.26,-3.1499999999999773,-1.0,682.5938175113089,681.5669896068712,681.7503353913487,-0.0005448441894714,0.0057398515923978,0.0101526315948149,False,True,True,1,0,0,0.1833457844775239,0.0002688240301769,0,0,1,0.8434821199601856,0.0012367247139933,0,0,1,1.0268279044377095,0.0015055487441702,-1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,682.875,683.3,0.0012404164632295,0.0018635571214713,1,1,1,1.0,1.0,1,0.0,0.0,1
2025-11-03 11:27:00,682.15,681.92,682.05,9119,0.0003372186789825,0.0004352757842956,0.000446959436499,0.1340206185566925,685.8,680.0,682.9,5.7999999999999545,wide,680.11,2025-10-31,683.26,-3.1499999999999773,-1.0,682.5921068338866,681.5707504395825,681.7520009965021,-0.0009168211101496,0.0050901128557597,0.0092188467798678,False,True,True,1,0,0,0.1812505569196218,0.0002657437972577,0,0,1,0.840105837384499,0.001231736437775,0,0,1,1.0213563943041208,0.0014974802350327,-1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,682.85,683.37,0.0011729345355913,0.0019353419837255,1,1,1,1.0,1.0,1,0.0,0.0,1
2025-11-03 11:28:00,682.21,681.83,682.17,10298,0.0005570458976501,0.0004851699365833,0.0004528267445407,0.3207547169810714,685.8,680.0,682.9,5.7999999999999545,wide,680.11,2025-10-31,683.26,-3.1499999999999773,-1.0,682.5902919276233,681.575193217942,681.7540526171148,-0.0014220349696188,0.0039320427922348,0.0074888513193627,False,True,True,1,0,0,0.1788593991727793,0.0002621918278035,0,0,1,0.8362393105085175,0.0012258517825593,0,0,1,1.015098709681297,0.0014880436103629,-1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,682.98,683.47,0.0011873873081491,0.0019056833340664,1,1,1,1.0,1.0,1,0.0,0.0,1
2025-11-03 11:29:00,682.22,682.02,682.04,12819,0.0002932379332591,0.0004456533399757,0.0004381849000976,0.198113207547107,685.8,680.0,682.9,5.7999999999999545,wide,680.11,2025-10-31,683.26,-3.1499999999999773,-1.0,682.5881508071242,681.580869984391,681.7567556903947,-0.0018802281864736,0.0032259076938316,0.0065043774238347,False,True,True,1,0,0,0.1758857060036689,0.0002578818045916,0,0,1,0.8313951167294817,0.001218982928757,0,0,1,1.007280822733151,0.0014768647333487,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,682.8,683.41,0.0011143041463843,0.0020086798428244,1,1,1,1.0,1.0,1,0.0,0.0,1
